Model,Type,Applicability Index (%),Mean Error (m3/m3),Standard Deviation of Error (m3/m3),RMSE (m3/m3)
"Gupta and Larson, 1979",FC10,100.0,0.0004756730522460939,0.049402118463102225,0.0494044084419095
"Gupta and Larson, 1979",FC33,100.0,-0.06492443645577937,0.04225963477324409,0.07746650360167621
"Gupta and Larson, 1979",PWP,100.0,-0.028963322834796468,0.028098725590511374,0.040353592769956696
"Rawls et al., 1982",FC10,100.0,-0.03230657172504561,0.03375217207886399,0.04672176898049519
"Rawls et al., 1982",FC33,100.0,-0.10215149871107873,0.03488780716413166,0.10794483673451527
"Rawls et al., 1982",PWP,100.0,-0.06960172657735536,0.027172474717673114,0.0747177604377401
"van den Berg et al., 1997",FC10,100.0,-0.07513034366538446,0.03518520658844617,0.08296123975659
"van den Berg et al., 1997",PWP,100.0,-0.06377909914693027,0.029144898786278187,0.07012273963028227
"Al Majou et al., 2007",FC10,100.0,-0.07513034366538446,0.03518520658844617,0.08296123975659
"Al Majou et al., 2007",FC33,100.0,-0.10818782554509211,0.03832901661361785,0.11477682305562513
"Al Majou et al., 2007",PWP,100.0,-0.07830639534643583,0.02887013982239443,0.08345883132129824
"Adhikary et al., 2008",FC10,100.0,-0.08992538519836052,0.03321171138486715,0.09586236318902863
"Adhikary et al., 2008",FC33,100.0,-0.12616333677943167,0.034721755562964245,0.13085407084494743
"Adhikary et al., 2008",PWP,100.0,-0.1042972169178288,0.028742556396231404,0.10818523006859661
"Liao et al., 2011",FC10,100.0,-0.1017263846399188,0.052983181164253546,0.11469731826940342
"Liao et al., 2011",FC33,100.0,-0.010671616486014848,0.05290226626932089,0.05396789022052567
"Liao et al., 2011",PWP,100.0,-0.10172035967591118,0.027159508868783284,0.10528376178020167
"Tóth et al., 2015",FC33,100.0,-0.0503381851490799,0.03624379702614216,0.062028587820256234
"Tóth et al., 2015",PWP,100.0,-0.06181518418987479,0.027137020680634474,0.06750951701685717
"Dobarco et al., 2019",FC33,100.0,-0.067023759876399,0.041988291471930825,0.07908982873101326
"Dobarco et al., 2019",PWP,100.0,-0.05330047805156057,0.028345098507315147,0.060368746631964204
"Cueff et al., 2021",PWP,100.0,-0.035072086456861946,0.030885098011892563,0.04673264948236734
